date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:15	0/0	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20May%202019%2021:34:16%20GMT	https://chefmasters.com.br/politicas-de-reembolso-panela	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/politicas-de-reembolso-panela.html	(from https://chefmasters.com.br/)
18:34:16	16124/16124	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Mar%202018%2019:18:12%20GMT	https://chefmasters.com.br/files/sites/5644/2018/03/site-blindado.png	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/files/sites/5644/2018/03/site-blindado.png	(from https://chefmasters.com.br/)
18:34:17	97184/97184	---M--	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202018%2008:14:42%20GMT	https://adiniiz.gpages.com.br/wp-includes/js/jquery/jquery.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/wp-includes/js/jquery/jquery.js	(from https://chefmasters.com.br/)
18:34:17	10056/10056	---M--	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202018%2008:14:42%20GMT	https://adiniiz.gpages.com.br/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/wp-includes/js/jquery/jquery-migrate.min.js	(from https://chefmasters.com.br/)
18:34:17	1782/1782	---M--	200	added ('OK')	text/javascript	date:Tue,%2030%20Oct%202018%2016:48:25%20GMT	https://adiniiz.gpages.com.br/gdigital/gdigital_novo/js/jquery.fitvids.min.js?ver=1.2	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/gdigital/gdigital_novo/js/jquery.fitvids.min62ea.js	(from https://chefmasters.com.br/)
18:34:18	25041/25041	---M--	200	added ('OK')	text/javascript	date:Tue,%2023%20Apr%202019%2012:13:27%20GMT	https://adiniiz.gpages.com.br/files/sites/5644/gdigital_novo/cache/929-layout.js?ver=5cc0fa7e07c814368521c2bc6d791e955d9e7b69a1f9d	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/files/sites/5644/gdigital_novo/cache/929-layout9108.js	(from https://chefmasters.com.br/)
18:34:18	905/905	---M--	200	added ('OK')	text/javascript	date:Thu,%2004%20Aug%202016%2012:33:02%20GMT	https://adiniiz.gpages.com.br/painel/assets/tracking/conversao.js	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/painel/assets/tracking/conversao.js	(from https://chefmasters.com.br/)
18:34:19	156559/156559	---M--	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202018%2008:14:42%20GMT	https://adiniiz.gpages.com.br/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from https://chefmasters.com.br/)
18:34:19	1193/1193	---M--	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202018%2008:14:42%20GMT	https://adiniiz.gpages.com.br/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=4.9.4	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/wp-includes/js/mediaelement/mediaelement-migrate.mincbf4.js	(from https://chefmasters.com.br/)
18:34:19	1398/1398	---M--	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202018%2008:14:40%20GMT	https://adiniiz.gpages.com.br/wp-includes/js/wp-embed.min.js?ver=4.9.4	C:/My%20Web%20Sites/https___chefmasters.com.br_/adiniiz.gpages.com.br/wp-includes/js/wp-embed.mincbf4.js	(from https://chefmasters.com.br/)
